lNN,weak,0,14.0,14.0
lNN,weak,0.0001,14.0,13.958
lNN,weak,0.001,14.0,13.538
lNN,weak,0.01,14.0,10.374
lNN,weak,0.1,14.0,0.0
lNN,normal,0,14.0,14.0
lNN,normal,0.0001,14.0,13.958
lNN,normal,0.001,14.0,13.538
lNN,normal,0.01,14.0,10.374
lNN,normal,0.1,14.0,0.0
lNN,strong,0,14.0,14.0
lNN,strong,0.0001,14.0,13.958
lNN,strong,0.001,14.0,13.538
lNN,strong,0.01,14.0,10.374
lNN,strong,0.1,14.0,0.0
lNN,weak,0,14.0,14.0
lNN,weak,0.0001,14.0,13.958
lNN,weak,0.001,14.0,13.538
lNN,weak,0.01,14.0,10.374
lNN,weak,0.1,14.0,0.0
lNN,normal,0,14.0,14.0
lNN,normal,0.0001,14.0,13.958
lNN,normal,0.001,14.0,13.538
lNN,normal,0.01,14.0,10.374
lNN,normal,0.1,14.0,0.0
lNN,strong,0,14.0,14.0
lNN,strong,0.0001,14.0,13.958
lNN,strong,0.001,14.0,13.538
lNN,strong,0.01,14.0,10.374
lNN,strong,0.1,14.0,0.0
