cNN,weak,0,14.872,13.757,21.726,20.359,16.447,15.325,11.217
cNN,weak,0.0001,14.052,12.964,20.892,19.5,15.607,14.497,10.387
cNN,weak,0.001,11.147,10.21,17.318,16.111,12.542,11.541,7.915
cNN,weak,0.01,4.763,4.289,8.327,7.638,5.439,4.932,3.095
cNN,normal,0,18.534,17.821,23.562,22.534,19.654,18.9,15.597
cNN,normal,0.0001,18.087,17.361,23.132,22.101,19.207,18.449,15.094
cNN,normal,0.001,16.057,15.444,20.903,19.91,17.147,16.428,13.17
cNN,normal,0.01,9.967,9.507,13.519,12.809,10.706,10.224,7.65
cNN,strong,0,21.754,21.402,25.02,24.287,22.544,22.005,19.19
cNN,strong,0.0001,21.528,21.175,24.826,24.073,22.321,21.782,18.9
cNN,strong,0.001,20.358,20.043,23.575,22.837,21.105,20.619,17.707
cNN,strong,0.01,15.494,15.294,18.16,17.491,16.065,15.649,12.812
